Name,Ranking,,,Publisher
,CCF,CORE,QUALIS,
ACM Computing Surveys,,A*,A1,ACM
ACM Transactions on Computer-Human Interaction,,A*,A2,ACM
ACM Transactions on Database Systems,,A*,A2,ACM
ACM Transactions on Information Systems,,A,,ACM
Annals of Operation Research,,,A1,Springer
Annual Review of Information Science and Technology,,A*,,Information Today
Applied Mathematical Modelling,,,A2,Elsevier
Applied Mathematics and Computation,,,A1,Elsevier
Applied Soft Computing,,,A1,Elsevier
Artifical Intelligence,,A*,,Elsevier
Artifical Intelligence in Medicine,,A,,Elsevier
Artificial Intelligence (General Ed.),,,A1,Elsevier
Artificial Intelligence Review,,,A2,Springer
Automatica (Oxford),,,A1,Elsevier
Behaviour & Information Technology (BIT),C,,,Springer
The Computer Law & Security Review (CLSR),C,,,Elsevier
Cognition,B,,,Elsevier
Cognitive Science,,A*,,Wiley
Communications of the ACM,,,A1,ACM
Computational Linguistics,,A*,A2,MIT Press
Computational Statistics & Data Analysis,,,A2,Elsevier
Computer Journal,,,A2,Elsevier
Computer Speech & Language,,A,A2,Oxford University Press
Computer Supported Cooperative Work,,,A2,Springer
Computer Vision and Image Understanding,,A,A1,Elsevier
Computers & Mathematics with Applications (1987),,,A1,Elsevier
Computers & Security (Elsevier),B,,,Elsevier
Computers in Human Behavior,,,A1,Elsevier
The Journal of Collaborative Computing and Work Practices (CSCW),B,,,Springer
Data & Knowledge Engineering,,,A2,Elsevier
Data Mining and Knowledge Discovery,,A,A1,Springer
Decision Support Systems,,,A1,Elsevier
EURASIP Journal on Information Security,C,,,Springer
European Journal of Operational Research,,A,A1,Elsevier
Evolutionary Computation,,A,A1,MIT Press
Expert Systems with Applications,,,A1,Elsevier
Frontiers of Computer Science (FCS),C,,,Springer
First Monday,,,A2,First Monday Editorial Group
Fuzzy Sets and Systems,,A,,Elsevier
Human-Computer Interaction (HCI),B,A,,Taylor & Francis Online
IEEE Intelligent Systems,,A,A1,IEEE
IEEE Multimedia,,,A2,IEEE
IEEE Transactions on Dependable and Secure Computing (IEEE TDSC),A,,,IEEE
IEEE Transactions on Information Forensics and Security (IEEE TIFS),A,,,IEEE
IEEE Transactions on Computers,,A*,,IEEE
IEEE Transactions on Computers (Print),,,A1,IEEE
IEEE Transactions on Evolutionary Computation,,,A1,IEEE
IEEE Transactions on Fuzzy Systems,,A*,A1,IEEE
IEEE Transactions on Human-Machine Systems,B,,,IEEE
IEEE Transactions on Image Processing,,A*,A1,IEEE
IEEE Transactions on Information Forensics and Security,,A,,IEEE
IEEE Transactions on Knowledge and Data Engineering,,A*,A1,IEEE
IEEE Transactions on Medical Imaging,B,A*,,IEEE
IEEE Transactions on Multimedia,,A*,A1,IEEE
IEEE Transactions on Neural Networks,,,A1,IEEE
IEEE Transactions on Neural Networks and Learning Systems,,,A1,IEEE
IEEE Transactions on Pattern Analysis and Machine Intelligence,,A*,A1,IEEE
IET Information Security,C,,,IET Research Journals
ET Image Processing journal (IET-IPR),C,,,IET Research Journals
International Journal of Human-Computer Interaction (IJHCI),B,,,Taylor & Francis Online
International Journal of Information Security and Privacy (IJISP),C,,,IGI Global Publishing
Image and Vision Computing,,,A1,Elsevier
Information and Computation,,,A2,Elsevier
Information Fusion,,,A1,Elsevier
Information Procesing and Management,,A,A1,Elsevier
Information Processing Letters,,,A2,Elsevier
Information Sciences,,A,A1,Elsevier
Information Systems (Oxford),,,A2,Oxford University Press
"Information, Communication & Society",,,A2,Taylor & Francis Online
International Journal of Computer Vision,,A*,,Springer
International Journal of Human-Computer Studies (IJHCS),A,A,A1,Elsevier
International Journal of Intelligent Systems,,,A2,Wiley
International Journal of Neural Systems,,,A1,World Scientific Publishing Co. Pte Ltd
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",,,A2,World Scientific Publishing Co. Pte Ltd
Interacting with Computers (IWC),B,,,Oxford University Press
Journal of the ACM (JACM),A,,,ACM
Journal of the American Medical Informatics Association (JAMIA),B,,,Oxford University Press
The Journal of the Acoustical Society of America (JASA),B,,,Taylor & Francis Online
IEEE Journal of Biomedical and Health Informatics (JBHI),C,,,IEEE
Journal of Computer Science and Technology (JCST),B,,,Springer
Journal of Information Security and Applications (JISA),C,,,Elsevier
Journal of Artifical Intelligence Research,,A,,AAAI Press
Journal of Computational and Applied Mathematics,,,A1,Elsevier
Journal of Information Science,,,A2,Elsevier
Journal of Information Technology,,A*,,SAGE
Journal of Machine Learning Research,,A*,,Microtome Publishing
Journal of the ACM,,A*,,ACM
Journal of the American Society for Information Science and Technology,,,A1,Wiley
Journal of the Association for Information Science and Technology,,,A1,Wiley
Journal of the Operational Research Society,,,A1,Taylor & Francis Online
Journal of Visual Communication and Image Representation,,,A2,Elsevier
Journal of Web Semantics,,,A2,Elsevier
Journal of Visual Communication and Image Representation (JVCIR),C,,,Elsevier
Knowledge and Information Systems,,,A2,Springer
Knowledge-Based Systems,,,A1,Elsevier
Machine Learning,,A,A1,Springer
Medical Image Analysis,C,,,Elsevier
Multimedia Systems (MS),C,,,SAGE
Multimedia Tools and Applications (MTA),C,,,Springer
Natural Language Engineering,,A,,Cambridge University Press
Nature Communications,,,A1,Nature Research
Neural Computation,,,A1,MIT Press
Neural Networks,,A,A1,Elsevier
Neural Processing Letters,,,A2,Springer
Neurocomputing (Amsterdam),,,A1,Elsevier
Neuroinformatics (Totowa),,,A1,Springer
Operations Research,,A*,,Institute for Operations Research and the Management Sciences
Pattern Recognition,,A*,A1,Elsevier
Pattern Recognition Letters,,,A1,Elsevier
PLOS Computational Biology,B,,,Public Library of Science
